id,lat,lon
559,52.15347480,8.63858480
560,52.13732710,8.55471790
561,52.12014800,8.66574200
562,52.11579000,8.66939000
563,50.82941697,6.08467820
564,50.83211740,6.07532802
626,51.22619440,7.63630410
627,51.22548430,7.61490000
628,51.21885510,7.60489860
629,51.43545762,7.79324684
630,51.18152090,6.67844920
631,51.18035070,6.67733340
632,51.76352020,8.94185800
634,51.66361700,9.37457300
635,52.11348100,8.66444200
636,51.87144840,8.94275480
637,51.99000000,8.79200000
638,51.95864770,9.24477830
639,51.72605000,8.75711300
640,52.37636200,8.96588600
641,52.24294000,8.92110000
642,52.31182200,9.35630800
643,52.25377732,8.47935150
644,51.91541000,9.14964000
645,51.73424000,9.02376000
646,51.78446000,8.81439000
647,52.33623000,9.37529000
648,51.65722000,8.72165000
649,52.06788000,9.12714000
650,51.71480000,9.17658000
651,52.26161000,9.05079000
652,51.76413000,8.55810000
653,51.77820200,9.39308800
654,52.19981000,8.64145000
655,52.72601000,8.75705000
656,51.80860000,8.84553600
657,52.32144000,9.20638000
658,51.97660000,9.51266000
659,50.87302340,8.01365540
660,50.87505840,8.02645250
661,51.17474000,7.05177000
662,50.81829830,7.14771480
663,50.81341880,7.15325760
664,50.81913370,7.11332430
665,50.80910000,7.17745000
666,50.81766700,7.16506020
667,50.36618810,8.74271250
668,50.59016000,8.68451000
669,50.58544870,8.66503460
670,50.53436150,8.71475120
671,50.57452800,8.71129600
672,50.75260590,9.27170740
673,50.23166590,8.76616716
674,50.41346000,9.01062000
675,50.33391890,8.75286340
676,50.78947236,8.75646985
677,50.83093311,8.77217444
678,50.80153377,8.77368046
679,50.81083970,8.77138230
680,50.92287082,8.94468355
681,50.70669816,8.69908337
682,50.86212794,8.70554246
683,50.79094353,8.75890064
684,50.96207385,8.71772514
685,50.73952925,8.63069110
686,50.90445062,8.72763435
687,50.79757756,8.92359431
688,50.84858378,8.78690465
689,50.88357807,8.91496698
690,50.79099059,8.76589113
691,50.72838666,8.85664056
