id,title,power,lat,lon,station_id,plug
830,Ladepunkt 830,22,,,453,CONNECTOR.AC.TYPE2.SOCKET
831,Ladepunkt 831,22,,,453,CONNECTOR.AC.TYPE2.SOCKET
832,Ladepunkt 832,22,,,453,CONNECTOR.AC.TYPE2.SOCKET
833,Ladepunkt 833,22,,,453,CONNECTOR.AC.TYPE2.SOCKET
834,Ladepunkt 834,22,,,453,CONNECTOR.AC.TYPE2.SOCKET
835,Ladepunkt 835,22,,,453,CONNECTOR.AC.SCHUKO.SOCKET
836,Ladepunkt 836,22,,,453,CONNECTOR.AC.SCHUKO.SOCKET
837,Ladepunkt 837,22,,,453,CONNECTOR.AC.SCHUKO.SOCKET
838,Ladepunkt 838,22,,,453,CONNECTOR.AC.SCHUKO.SOCKET
839,Ladepunkt 839,22,,,454,CONNECTOR.AC.TYPE2.SOCKET
840,Ladepunkt 840,22,,,454,CONNECTOR.AC.TYPE2.SOCKET
134883,Stromtanke 86*1,22,51.26484600,6.73419000,455,CONNECTOR.AC.TYPE2.SOCKET
134884,Stromtanke 86*2,22,51.26484600,6.73419000,455,CONNECTOR.AC.TYPE2.SOCKET
845,Ladepunkt 845,22,,,456,CONNECTOR.AC.TYPE2.SOCKET
846,Ladepunkt 846,22,,,456,CONNECTOR.AC.TYPE2.SOCKET
847,Ladepunkt 847,22,,,456,CONNECTOR.AC.SCHUKO.SOCKET
848,Ladepunkt 848,22,,,456,CONNECTOR.AC.SCHUKO.SOCKET
849,Ladepunkt 849,22,,,457,CONNECTOR.AC.TYPE2.SOCKET
850,Ladepunkt 850,22,,,457,CONNECTOR.AC.TYPE2.SOCKET
851,Ladepunkt 851,22,,,458,CONNECTOR.AC.TYPE2.SOCKET
852,Ladepunkt 852,22,,,458,CONNECTOR.AC.TYPE2.SOCKET
853,Ladepunkt 853,22,,,459,CONNECTOR.AC.TYPE2.SOCKET
854,Ladepunkt 854,22,,,459,CONNECTOR.AC.TYPE2.SOCKET
855,Ladepunkt 855,22,,,460,CONNECTOR.AC.TYPE2.SOCKET
856,Ladepunkt 856,22,,,460,CONNECTOR.AC.TYPE2.SOCKET
857,Ladepunkt 857,22,,,461,CONNECTOR.AC.TYPE2.SOCKET
858,Ladepunkt 858,22,,,461,CONNECTOR.AC.TYPE2.SOCKET
134916,Stromtanke 1*2,22,51.28337600,6.77852600,462,CONNECTOR.AC.TYPE2.SOCKET
134917,Stromtanke 1*1,22,51.28337600,6.77852600,462,CONNECTOR.AC.TYPE2.SOCKET
863,Ladepunkt 863,22,,,463,CONNECTOR.AC.TYPE2.SOCKET
864,Ladepunkt 864,22,,,463,CONNECTOR.AC.TYPE2.SOCKET
865,Ladepunkt 865,22,,,463,CONNECTOR.AC.TYPE2.SOCKET
