station_id,kw
dc36148,22
dc37744,11
dc37744,11
dc16781,11
dc37493,11
dc38214,11
dc25170,11
dc25170,11
dc54591,22
dc16632,22
dc15841,14
dc13540,22
dc35239,22
dc30011,22
dc30011,22
dc37574,22
dc60565,22
dc40638,11
dc40638,11
dc17897,22
dc17897,22
dc34027,11
dc34027,11
dc58796,11
dc58796,11
dc14299,22
dc23635,11
dc23635,11
dc19079,11
dc19079,11
dc35345,22
dc35345,22
dc31577,22
dc31577,22
dc31022,22
dc31022,22
dc30833,22
dc35362,22
dc35362,22
dc30165,22
dc11120,11
dc11120,11
dc15805,22
dc15248,22
dc15308,22
dc36327,22
dc36327,22
dc31681,22
dc31681,22
dc27525,11
dc27525,11
dc18211,22
dc50840,22
dc15631,22
dc46877,11
dc37653,22
dc37653,22
dc81532,11
dc81532,11
dc37110,22
dc56810,22
dc56810,22
dc38196,22
dc37111,22
dc36606,11
dc14820,22
dc14820,22
dc22491,22
dc31578,11
dc51023,14
dc51023,14
dc13051,17
dc19372,22
dc19372,22
dc12914,22
dc12914,22
dc22490,22
dc43126,22
dc43126,22
dc58794,22
dc58794,22
dc37677,22
dc51037,22
dc19622,22
dc19622,22
dc29722,17
dc60485,22
dc27923,11
dc27923,11
dc60618,11
dc60618,11
dc605658,22
dc39015,17
dc39015,17
dc19990,11
dc19990,11
dc513857,11
dc513857,11
dc27907,22
dc27907,22
dc37399,11
dc37399,11
dc23173,22
dc50838,11
dc53170,22
dc24456,22
dc24456,22
dc16568,22
dc15929,11
dc15929,11
dc25807,14
dc25807,14
dc13705,22
dc75615,11
dc23636,22
dc23636,22
dc588997,11
dc588997,11
dc37335,22
dc36248,22
dc23569,11
dc23569,11
dc58788,11
dc25800,11
dc74826,14
dc60203,11
dc58785,22
dc58785,22
dc23476,22
dc23476,22
dc24508,14
dc24508,14
dc62696,11
dc62696,11
dc28560,17
dc36369,22
dc25676,11
dc25676,11
dc26754,22
dc41272,22
dc41272,22
dc13152,22
dc533050,22
dc533050,22
dc36424,11
dc36424,11
dc31670,17
dc15872,22
dc18643,11
dc18643,11
dc25119,22
dc25119,22
dc36771,22
dc36771,22
dc49228,22
dc49228,22
dc25839,22
dc25839,22
dc21945,22
dc21945,22
dc18290,22
dc18290,22
dc548148,11
dc548148,11
dc50839,22
dc43781,22
dc43781,22
dc24161,22
dc17291,11
dc17291,11
dc38622,11
dc38622,11
dc54592,22
dc54592,22
dc14453,22
dc14453,22
dc18390,22
dc18390,22
dc47013,11
dc47013,11
dc58791,11
dc51031,14
dc51031,14
dc56813,17
dc21836,11
dc16896,11
dc16896,11
dc15641,11
dc15641,11
dc49064,17
dc49064,17
dc59594,22
dc37547,22
dc37547,22
dc31475,11
dc31475,11
dc31475,11
dc14163,22
dc13270,22
dc13270,22
dc13269,22
dc13269,22
dc13155,22
dc37867,22
dc18259,11
dc16162,22
dc16162,22
dc39007,17
dc39007,17
dc19805,22
dc19805,22
dc57051,14
dc57051,14
dc15346,22
dc15346,22
dc531778,22
dc531778,22
dc36595,22
dc36595,22
dc40528,11
dc40528,11
dc53086,11
dc53086,11
dc23647,14
dc23647,14
dc15140,14
dc46575,11
dc46575,11
dc30910,11
dc30910,11
dc22108,22
dc23080,22
dc23080,22
dc37670,22
dc29782,11
dc29782,11
dc60267,17
dc60267,17
dc24735,22
dc24735,22
dc35863,11
dc24298,17
dc21172,22
dc21172,22
dc23639,22
dc23639,22
dc16679,11
dc16679,11
dc23474,22
dc23474,22
dc18214,22
dc19615,22
dc22039,22
dc37396,22
dc37396,22
dc31182,22
dc31182,22
dc22427,22
dc79640,6
dc17495,14
dc531850,22
dc531850,22
dc58164,22
dc37407,22
dc60463,14
dc60463,14
dc27011,22
dc27011,22
dc62917,22
dc62917,22
dc62917,22
reitimwinklfestsaal,22
reitimwinklfestsaal,22
dc18254,22
dc18224,11
dc34816,14
dc26689,11
dc26689,11
dc37138,11
dc16858,14
dc33292,11
dc33292,11
dc28315,22
dc28315,22
dc13103,22
dc13103,22
dc20233,11
dc20233,11
dc56974,17
dc60738,7
dc60738,7
dc13122,11
dc28318,22
dc28318,22
dc37869,22
dc37869,22
dc74678,14
dc25809,11
dc25861,17
dc25861,17
dc25134,11
dc19417,22
dc31248,22
dc18345,22
dc11749,22
dc11749,22
dc31257,11
dc33269,11
dc19374,22
dc19374,22
dc33884,11
dc33884,11
dc25014,11
dc18319,22
dc17742,22
dc30262,22
dc30262,22
dc37397,11
dc18346,22
dc29844,22
dc37588,11
dc37664,22
dc37664,22
dc18343,22
dc35337,22
dc35337,22
dc26241,11
dc26241,11
dc15250,11
dc29964,22
dc81551,11
dc81551,11
dc17973,22
dc17973,22
dc17118,22
dc17118,22
dc22072,22
dc22072,22
dc18256,22
dc18256,22
dc21374,22
dc21374,22
dc18313,17
dc18313,17
dc27912,22
dc27912,22
dc26679,22
dc18248,22
dc18257,22
dc18257,22
dc20856,17
dc20856,17
dc19190,22
dc22486,11
dc22486,11
dc32476,22
dc32476,22
dc23105,11
dc23105,11
dc60571,22
dc27056,22
dc81536,7
dc32184,17
dc32184,17
dc37149,22
dc35255,14
dc35255,14
dc26695,11
dc74665,8
dc10669,22
dc10669,22
dc35063,22
dc35063,22
dc76050,22
dc76050,22
dc25426,6
dc25426,6
dc25426,6
dc14369,22
dc14369,22
dc22575,22
dc22031,11
dc33159,22
dc33159,22
dc31443,22
dc31443,22
dc38619,22
dc38619,22
dc37665,14
dc22159,22
dc22159,22
dc531215,22
dc531215,22
dc531215,22
dc26665,22
dc26665,22
dc18352,22
dc18352,22
dc29631,22
dc29631,22
dc38630,11
dc38630,11
dc17263,22
dc26856,17
dc26856,17
dc29508,11
dc29508,11
dc29508,11
dc21495,22
dc21495,22
dc41251,11
dc41251,11
dc21255,11
dc16003,17
dc16003,17
dc35536,11
dc35536,11
dc30496,22
dc30496,22
dc37793,22
dc13662,22
dc13662,22
dc11694,14
dc20271,17
dc17290,11
dc16143,22
dc30271,22
dc30271,22
dc48885,22
dc48885,22
dc29007,11
dc29007,11
dc29007,11
dc15804,22
dc15804,22
dc56550,22
dc81531,11
dc19537,22
dc19537,22
dc19537,22
dc30772,14
dc74671,11
dc74671,11
dc15132,22
dc27931,22
dc50846,11
dc13104,22
dc13104,22
dc18322,22
dc37120,11
dc37120,11
dc12873,22
dc38621,11
dc25165,22
dc25165,22
dc28867,11
dc28867,11
dc35990,11
dc35990,11
dc28633,22
dc78127,17
dc78127,17
dc81544,11
dc15448,22
dc15448,22
dc17854,22
dc17854,22
dc24384,11
dc24384,11
dc29006,17
dc18232,22
dc18232,22
dc20229,22
dc20229,22
dc15292,17
dc13519,22
dc13519,22
dc16885,22
dc30832,22
dc30832,22
dc50841,11
dc50841,11
dc20807,22
dc20807,22
dc29808,22
dc30383,17
dc19965,11
dc19965,11
dc81528,6
dc60617,22
dc60617,22
dc34309,11
dc30098,14
dc30098,14
dc52032,11
dc16514,22
dc16514,22
dc36746,11
dc43778,11
dc43778,11
dc21888,14
dc21888,14
dc26699,22
dc26699,22
dc21729,14
dc21729,14
dc12687,22
dc12687,22
dc12687,22
dc33751,11
dc33751,11
dc27635,22
dc27635,22
dc70834,22
dc23475,22
dc23475,22
dc11690,22
dc11690,22
dc83741,11
dc83741,11
dc35279,11
dc29954,22
dc29954,22
dc27720,22
dc33433,11
dc33433,11
dc21254,22
dc21254,22
dc45253,22
dc45253,22
