location_id,city,open_soon,postal_code,longitude,latitude,station_id,kw,charger_type,bundesland
gensingensupercharger,Gensingen,0,55457,7.9295730000,49.9022770000,gensingensupercharger,150,super,Rheinland-Pfalz
gensingensupercharger,Gensingen,0,55457,7.9295730000,49.9022770000,gensingensupercharger,150,super,Rheinland-Pfalz
gensingensupercharger,Gensingen,0,55457,7.9295730000,49.9022770000,gensingensupercharger,150,super,Rheinland-Pfalz
gensingensupercharger,Gensingen,0,55457,7.9295730000,49.9022770000,gensingensupercharger,150,super,Rheinland-Pfalz
gensingensupercharger,Gensingen,0,55457,7.9295730000,49.9022770000,gensingensupercharger,250,super,Rheinland-Pfalz
gensingensupercharger,Gensingen,0,55457,7.9295730000,49.9022770000,gensingensupercharger,250,super,Rheinland-Pfalz
gensingensupercharger,Gensingen,0,55457,7.9295730000,49.9022770000,gensingensupercharger,250,super,Rheinland-Pfalz
gensingensupercharger,Gensingen,0,55457,7.9295730000,49.9022770000,gensingensupercharger,250,super,Rheinland-Pfalz
gensingensupercharger,Gensingen,0,55457,7.9295730000,49.9022770000,gensingensupercharger,250,super,Rheinland-Pfalz
gensingensupercharger,Gensingen,0,55457,7.9295730000,49.9022770000,gensingensupercharger,250,super,Rheinland-Pfalz
gensingensupercharger,Gensingen,0,55457,7.9295730000,49.9022770000,gensingensupercharger,250,super,Rheinland-Pfalz
gensingensupercharger,Gensingen,0,55457,7.9295730000,49.9022770000,gensingensupercharger,250,super,Rheinland-Pfalz
gramschatzerwaldsupercharger,Erbshausen,0,97262,10.0014063300,49.9115786400,gramschatzerwaldsupercharger,150,super,Bayern
gramschatzerwaldsupercharger,Erbshausen,0,97262,10.0014063300,49.9115786400,gramschatzerwaldsupercharger,150,super,Bayern
gramschatzerwaldsupercharger,Erbshausen,0,97262,10.0014063300,49.9115786400,gramschatzerwaldsupercharger,150,super,Bayern
gramschatzerwaldsupercharger,Erbshausen,0,97262,10.0014063300,49.9115786400,gramschatzerwaldsupercharger,150,super,Bayern
gramschatzerwaldsupercharger,Erbshausen,0,97262,10.0014063300,49.9115786400,gramschatzerwaldsupercharger,150,super,Bayern
gramschatzerwaldsupercharger,Erbshausen,0,97262,10.0014063300,49.9115786400,gramschatzerwaldsupercharger,150,super,Bayern
gramschatzerwaldsupercharger,Erbshausen,0,97262,10.0014063300,49.9115786400,gramschatzerwaldsupercharger,250,super,Bayern
gramschatzerwaldsupercharger,Erbshausen,0,97262,10.0014063300,49.9115786400,gramschatzerwaldsupercharger,250,super,Bayern
gramschatzerwaldsupercharger,Erbshausen,0,97262,10.0014063300,49.9115786400,gramschatzerwaldsupercharger,250,super,Bayern
gramschatzerwaldsupercharger,Erbshausen,0,97262,10.0014063300,49.9115786400,gramschatzerwaldsupercharger,250,super,Bayern
gramschatzerwaldsupercharger,Erbshausen,0,97262,10.0014063300,49.9115786400,gramschatzerwaldsupercharger,250,super,Bayern
gramschatzerwaldsupercharger,Erbshausen,0,97262,10.0014063300,49.9115786400,gramschatzerwaldsupercharger,250,super,Bayern
gramschatzerwaldsupercharger,Erbshausen,0,97262,10.0014063300,49.9115786400,gramschatzerwaldsupercharger,250,super,Bayern
gramschatzerwaldsupercharger,Erbshausen,0,97262,10.0014063300,49.9115786400,gramschatzerwaldsupercharger,250,super,Bayern
gutzkowsupercharger,Gützkow,0,17506,13.3967390000,53.9439430000,gutzkowsupercharger,150,super,Mecklenburg-Vorpommern
gutzkowsupercharger,Gützkow,0,17506,13.3967390000,53.9439430000,gutzkowsupercharger,150,super,Mecklenburg-Vorpommern
gutzkowsupercharger,Gützkow,0,17506,13.3967390000,53.9439430000,gutzkowsupercharger,150,super,Mecklenburg-Vorpommern
gutzkowsupercharger,Gützkow,0,17506,13.3967390000,53.9439430000,gutzkowsupercharger,150,super,Mecklenburg-Vorpommern
gutzkowsupercharger,Gützkow,0,17506,13.3967390000,53.9439430000,gutzkowsupercharger,150,super,Mecklenburg-Vorpommern
gutzkowsupercharger,Gützkow,0,17506,13.3967390000,53.9439430000,gutzkowsupercharger,150,super,Mecklenburg-Vorpommern
gutzkowsupercharger,Gützkow,0,17506,13.3967390000,53.9439430000,gutzkowsupercharger,150,super,Mecklenburg-Vorpommern
gutzkowsupercharger,Gützkow,0,17506,13.3967390000,53.9439430000,gutzkowsupercharger,150,super,Mecklenburg-Vorpommern
gutzkowsupercharger,Gützkow,0,17506,13.3967390000,53.9439430000,gutzkowsupercharger,150,super,Mecklenburg-Vorpommern
gutzkowsupercharger,Gützkow,0,17506,13.3967390000,53.9439430000,gutzkowsupercharger,150,super,Mecklenburg-Vorpommern
hamburgsupercharger,Hamburg,0,21075,9.9397780000,53.4607610000,hamburgsupercharger,150,super,Unknown
hamburgsupercharger,Hamburg,0,21075,9.9397780000,53.4607610000,hamburgsupercharger,150,super,Unknown
hamburgsupercharger,Hamburg,0,21075,9.9397780000,53.4607610000,hamburgsupercharger,150,super,Unknown
hamburgsupercharger,Hamburg,0,21075,9.9397780000,53.4607610000,hamburgsupercharger,150,super,Unknown
hengersbergsupercharger,Hengersberg,0,94491,13.0466550000,48.7654840000,hengersbergsupercharger,150,super,Bayern
hengersbergsupercharger,Hengersberg,0,94491,13.0466550000,48.7654840000,hengersbergsupercharger,150,super,Bayern
hengersbergsupercharger,Hengersberg,0,94491,13.0466550000,48.7654840000,hengersbergsupercharger,150,super,Bayern
hengersbergsupercharger,Hengersberg,0,94491,13.0466550000,48.7654840000,hengersbergsupercharger,150,super,Bayern
hengersbergsupercharger,Hengersberg,0,94491,13.0466550000,48.7654840000,hengersbergsupercharger,150,super,Bayern
hengersbergsupercharger,Hengersberg,0,94491,13.0466550000,48.7654840000,hengersbergsupercharger,150,super,Bayern
hengersbergsupercharger,Hengersberg,0,94491,13.0466550000,48.7654840000,hengersbergsupercharger,150,super,Bayern
hengersbergsupercharger,Hengersberg,0,94491,13.0466550000,48.7654840000,hengersbergsupercharger,150,super,Bayern
herbolzheimsupercharger,Herbolzheim,0,79336,7.7538920000,48.2274820000,herbolzheimsupercharger,150,super,Baden-Württemberg
herbolzheimsupercharger,Herbolzheim,0,79336,7.7538920000,48.2274820000,herbolzheimsupercharger,150,super,Baden-Württemberg
herbolzheimsupercharger,Herbolzheim,0,79336,7.7538920000,48.2274820000,herbolzheimsupercharger,150,super,Baden-Württemberg
herbolzheimsupercharger,Herbolzheim,0,79336,7.7538920000,48.2274820000,herbolzheimsupercharger,150,super,Baden-Württemberg
herbolzheimsupercharger,Herbolzheim,0,79336,7.7538920000,48.2274820000,herbolzheimsupercharger,150,super,Baden-Württemberg
herbolzheimsupercharger,Herbolzheim,0,79336,7.7538920000,48.2274820000,herbolzheimsupercharger,150,super,Baden-Württemberg
herbolzheimsupercharger,Herbolzheim,0,79336,7.7538920000,48.2274820000,herbolzheimsupercharger,150,super,Baden-Württemberg
herbolzheimsupercharger,Herbolzheim,0,79336,7.7538920000,48.2274820000,herbolzheimsupercharger,150,super,Baden-Württemberg
herbolzheimsupercharger,Herbolzheim,0,79336,7.7538920000,48.2274820000,herbolzheimsupercharger,150,super,Baden-Württemberg
herbolzheimsupercharger,Herbolzheim,0,79336,7.7538920000,48.2274820000,herbolzheimsupercharger,150,super,Baden-Württemberg
hermsdorfsupercharger,Hermsdorf,0,07629,11.8713980000,50.8898640000,hermsdorfsupercharger,250,super,Thüringen
hermsdorfsupercharger,Hermsdorf,0,07629,11.8713980000,50.8898640000,hermsdorfsupercharger,250,super,Thüringen
hermsdorfsupercharger,Hermsdorf,0,07629,11.8713980000,50.8898640000,hermsdorfsupercharger,250,super,Thüringen
hermsdorfsupercharger,Hermsdorf,0,07629,11.8713980000,50.8898640000,hermsdorfsupercharger,250,super,Thüringen
hermsdorfsupercharger,Hermsdorf,0,07629,11.8713980000,50.8898640000,hermsdorfsupercharger,250,super,Thüringen
hermsdorfsupercharger,Hermsdorf,0,07629,11.8713980000,50.8898640000,hermsdorfsupercharger,250,super,Thüringen
hermsdorfsupercharger,Hermsdorf,0,07629,11.8713980000,50.8898640000,hermsdorfsupercharger,250,super,Thüringen
hermsdorfsupercharger,Hermsdorf,0,07629,11.8713980000,50.8898640000,hermsdorfsupercharger,250,super,Thüringen
hermsdorfsupercharger,Hermsdorf,0,07629,11.8713980000,50.8898640000,hermsdorfsupercharger,250,super,Thüringen
hermsdorfsupercharger,Hermsdorf,0,07629,11.8713980000,50.8898640000,hermsdorfsupercharger,250,super,Thüringen
hermsdorfsupercharger,Hermsdorf,0,07629,11.8713980000,50.8898640000,hermsdorfsupercharger,250,super,Thüringen
hermsdorfsupercharger,Hermsdorf,0,07629,11.8713980000,50.8898640000,hermsdorfsupercharger,250,super,Thüringen
herzsprungsupercharger,Herzsprung,0,16909,12.5332270000,53.0674030000,herzsprungsupercharger,150,super,Brandenburg
herzsprungsupercharger,Herzsprung,0,16909,12.5332270000,53.0674030000,herzsprungsupercharger,150,super,Brandenburg
herzsprungsupercharger,Herzsprung,0,16909,12.5332270000,53.0674030000,herzsprungsupercharger,150,super,Brandenburg
herzsprungsupercharger,Herzsprung,0,16909,12.5332270000,53.0674030000,herzsprungsupercharger,150,super,Brandenburg
herzsprungsupercharger,Herzsprung,0,16909,12.5332270000,53.0674030000,herzsprungsupercharger,150,super,Brandenburg
herzsprungsupercharger,Herzsprung,0,16909,12.5332270000,53.0674030000,herzsprungsupercharger,150,super,Brandenburg
herzsprungsupercharger,Herzsprung,0,16909,12.5332270000,53.0674030000,herzsprungsupercharger,150,super,Brandenburg
herzsprungsupercharger,Herzsprung,0,16909,12.5332270000,53.0674030000,herzsprungsupercharger,150,super,Brandenburg
herzsprungsupercharger,Herzsprung,0,16909,12.5332270000,53.0674030000,herzsprungsupercharger,150,super,Brandenburg
herzsprungsupercharger,Herzsprung,0,16909,12.5332270000,53.0674030000,herzsprungsupercharger,150,super,Brandenburg
herzsprungsupercharger,Herzsprung,0,16909,12.5332270000,53.0674030000,herzsprungsupercharger,250,super,Brandenburg
herzsprungsupercharger,Herzsprung,0,16909,12.5332270000,53.0674030000,herzsprungsupercharger,250,super,Brandenburg
herzsprungsupercharger,Herzsprung,0,16909,12.5332270000,53.0674030000,herzsprungsupercharger,250,super,Brandenburg
herzsprungsupercharger,Herzsprung,0,16909,12.5332270000,53.0674030000,herzsprungsupercharger,250,super,Brandenburg
herzsprungsupercharger,Herzsprung,0,16909,12.5332270000,53.0674030000,herzsprungsupercharger,250,super,Brandenburg
herzsprungsupercharger,Herzsprung,0,16909,12.5332270000,53.0674030000,herzsprungsupercharger,250,super,Brandenburg
herzsprungsupercharger,Herzsprung,0,16909,12.5332270000,53.0674030000,herzsprungsupercharger,250,super,Brandenburg
herzsprungsupercharger,Herzsprung,0,16909,12.5332270000,53.0674030000,herzsprungsupercharger,250,super,Brandenburg
