station_id,point_id,power,public key,steckertyp,inbetriebnahme
13492,2,22.0,,AC Steckdose Typ 2,2021-06-02
13493,1,22.0,,,2019-06-12
13493,2,22.0,,AC Steckdose Typ 2,2019-06-12
13494,1,22.0,,,2019-10-07
13494,2,22.0,,AC Steckdose Typ 2,2019-10-07
13495,1,22.0,,,2020-07-01
13495,2,22.0,,"AC Steckdose Typ 2, AC Kupplung Typ 2",2020-07-01
13496,1,22.0,,,2021-04-15
13496,2,22.0,,AC Steckdose Typ 2,2021-04-15
13497,1,22.0,,,2021-06-06
13497,2,22.0,,AC Steckdose Typ 2,2021-06-06
13497,1,22.0,,,2021-06-02
13497,2,22.0,,AC Steckdose Typ 2,2021-06-02
13498,1,22.0,,,2021-09-06
13498,2,22.0,,AC Steckdose Typ 2,2021-09-06
13499,1,22.0,,,2021-09-09
13499,2,22.0,,AC Steckdose Typ 2,2021-09-09
13500,1,22.0,,,2018-05-27
13500,2,22.0,,AC Steckdose Typ 2,2018-05-27
13501,1,22.0,,,2020-07-01
13501,2,22.0,,AC Steckdose Typ 2,2020-07-01
13502,1,22.0,,,2020-12-11
13502,2,22.0,,AC Steckdose Typ 2,2020-12-11
13503,1,22.0,,,2021-04-15
13503,2,22.0,,AC Steckdose Typ 2,2021-04-15
13504,1,22.0,,,2021-04-15
13504,2,22.0,,AC Steckdose Typ 2,2021-04-15
13505,1,4.6,,,2021-04-15
13506,1,22.0,,,2021-09-03
13506,2,22.0,,AC Steckdose Typ 2,2021-09-03
13507,1,11.0,,,2015-06-26
13507,2,11.0,,AC Steckdose Typ 2,2015-06-26
13507,1,11.0,,,2015-06-26
13507,2,11.0,,AC Steckdose Typ 2,2015-06-26
13508,1,22.0,,,2019-09-23
13508,2,22.0,,AC Steckdose Typ 2,2019-09-23
13509,1,22.0,,,2021-01-15
13509,2,22.0,,AC Steckdose Typ 2,2021-01-15
13510,1,22.0,,,2021-04-15
13510,2,22.0,,AC Steckdose Typ 2,2021-04-15
13511,1,150.0,,,2021-10-27
13511,2,150.0,,DC Kupplung Combo,2021-10-27
13512,1,22.0,,,2018-12-21
13512,2,22.0,,AC Steckdose Typ 2,2018-12-21
13513,1,22.0,,,2018-10-16
13513,2,22.0,,AC Steckdose Typ 2,2018-10-16
13514,1,50.0,,,2019-12-19
13514,2,22.0,,AC Kupplung Typ 2,2019-12-19
13515,1,22.0,,,2021-04-15
13515,2,22.0,,AC Steckdose Typ 2,2021-04-15
13516,1,22.0,,,2021-04-15
13516,2,22.0,,AC Steckdose Typ 2,2021-04-15
13517,1,22.0,,,2021-06-06
13517,2,22.0,,AC Steckdose Typ 2,2021-06-06
13518,1,4.6,,,2021-04-15
13519,1,22.0,,,2021-06-04
13519,2,22.0,,AC Steckdose Typ 2,2021-06-04
13520,1,22.0,,,2021-09-04
13520,2,22.0,,AC Steckdose Typ 2,2021-09-04
13521,1,22.0,,,2015-05-27
13521,2,50.0,,"DC Kupplung Combo, DC CHAdeMO",2015-05-27
13522,1,11.0,,,2011-11-23
13522,2,22.0,,"AC Steckdose Typ 2, DC Kupplung Combo",2011-11-23
13523,1,22.0,,,2019-06-12
13523,2,22.0,,AC Steckdose Typ 2,2019-06-12
13524,1,22.0,,,2019-06-24
13524,2,22.0,,AC Steckdose Typ 2,2019-06-24
13525,1,22.0,,,2020-07-01
13525,2,22.0,,AC Steckdose Typ 2,2020-07-01
13525,3,22.0,,AC Steckdose Typ 2,2020-07-01
13525,4,22.0,,AC Steckdose Typ 2,2020-07-01
13526,1,22.0,,,2020-07-01
13526,2,22.0,,AC Steckdose Typ 2,2020-07-01
13527,1,22.0,,,2020-06-29
13527,2,22.0,,AC Steckdose Typ 2,2020-06-29
13527,3,22.0,,AC Steckdose Typ 2,2020-06-29
13527,4,22.0,,AC Steckdose Typ 2,2020-06-29
13528,1,22.0,,,2021-04-15
13528,2,22.0,,AC Steckdose Typ 2,2021-04-15
13529,1,4.6,,,2021-04-15
13530,1,4.6,,,2021-04-15
13531,1,22.0,,,2021-09-05
13531,2,22.0,,AC Steckdose Typ 2,2021-09-05
13532,1,22.0,,,2019-10-07
13532,2,22.0,,AC Steckdose Typ 2,2019-10-07
13533,1,22.0,,,2020-05-18
13533,2,22.0,,AC Steckdose Typ 2,2020-05-18
13534,1,22.0,,,2021-04-15
13534,2,22.0,,AC Steckdose Typ 2,2021-04-15
13535,1,4.6,,,2021-04-15
13536,1,4.6,,,2021-04-15
13537,1,4.6,,,2021-04-15
13538,1,22.0,,,2021-09-06
13538,2,22.0,,AC Steckdose Typ 2,2021-09-06
13539,1,50.0,,,2021-04-16
13540,1,22.0,,,2020-05-18
13540,2,22.0,,AC Steckdose Typ 2,2020-05-18
13541,1,22.0,,,2020-07-01
13541,2,22.0,,"AC Steckdose Typ 2, AC Kupplung Typ 2",2020-07-01
13542,1,22.0,,,2021-04-15
13542,2,22.0,,AC Steckdose Typ 2,2021-04-15
13543,1,22.0,,,2021-04-15
13543,2,22.0,,AC Steckdose Typ 2,2021-04-15
13544,1,22.0,,,2021-04-15
13544,2,22.0,,AC Steckdose Typ 2,2021-04-15
